717.6 10285.57 2016-11-10 04:13:23
748.96 10285.57 2016-11-10 04:18:33
747.67 10285.57 2016-11-10 04:23:43
732.28 10285.57 2016-11-10 04:28:52
711.47 10285.57 2016-11-10 04:34:02
699.52 10285.57 2016-11-10 04:39:12
696.42 10285.57 2016-11-10 04:44:22
702.43 10285.57 2016-11-10 04:49:32
707.03 10285.57 2016-11-10 04:54:41
706.03 10285.57 2016-11-10 04:59:51
710.7 10285.57 2016-11-10 05:05:01
700.79 10285.57 2016-11-10 05:10:11
702.86 10285.57 2016-11-10 05:15:21
700.48 10285.57 2016-11-10 05:20:44
694.82 10285.57 2016-11-10 05:25:54
702.03 10285.57 2016-11-10 05:31:04
732.31 10285.57 2016-11-10 05:36:14
749.31 10285.57 2016-11-10 05:41:24
750.15 10285.57 2016-11-10 05:46:34
745.23 10285.57 2016-11-10 05:51:44
780.14 10285.57 2016-11-10 05:56:55
761.78 10285.57 2016-11-10 06:02:04
764.91 10285.57 2016-11-10 06:07:15
860.72 10285.57 2016-11-10 06:12:24
906.66 10285.57 2016-11-10 06:17:34
869.72 10285.57 2016-11-10 06:22:43
869.08 10285.57 2016-11-10 06:27:53
877.35 10285.57 2016-11-10 06:33:03
996.22 10285.57 2016-11-10 06:38:13
1050.88 10285.57 2016-11-10 06:43:22
1091.56 10285.57 2016-11-10 06:48:32
1172.69 10285.57 2016-11-10 06:53:43
1284.32 10285.57 2016-11-10 06:58:52
1502.55 10285.57 2016-11-10 07:04:02
1697.74 10285.57 2016-11-10 07:09:12
1929.77 10285.57 2016-11-10 07:14:22
2037.28 10285.57 2016-11-10 07:19:32
2139.7 10285.57 2016-11-10 07:24:42
2247.38 10285.57 2016-11-10 07:29:52
2257.74 10285.57 2016-11-10 07:35:02
2379.79 10285.57 2016-11-10 07:40:12
2401.79 10285.57 2016-11-10 07:45:21
2347.86 10285.57 2016-11-10 07:50:32
2713.83 10285.57 2016-11-10 07:55:42
2923.48 10285.57 2016-11-10 08:00:51
2947.71 10285.57 2016-11-10 08:06:01
3002.68 10285.57 2016-11-10 08:11:11
3198.88 10285.57 2016-11-10 08:16:21
3099.94 10285.57 2016-11-10 08:21:32
3214.53 10285.57 2016-11-10 08:26:41
3272.3 10285.57 2016-11-10 08:31:51
3390.21 10285.57 2016-11-10 08:37:01
3430.32 10285.57 2016-11-10 08:42:11
3437.36 10285.57 2016-11-10 08:47:21
3536.43 10285.57 2016-11-10 08:52:31
3296.42 10285.57 2016-11-10 08:57:41
3425.89 10285.57 2016-11-10 09:02:51
3488.73 10285.57 2016-11-10 09:08:01
3235.86 10285.57 2016-11-10 09:13:11
3408.49 10285.57 2016-11-10 09:18:20
3167.23 10285.57 2016-11-10 09:23:31
2937.49 10285.57 2016-11-10 09:28:41
2960.68 10285.57 2016-11-10 09:33:51
2870.59 10285.57 2016-11-10 09:39:01
2844.71 10285.57 2016-11-10 09:44:11
2914.93 10285.57 2016-11-10 09:49:21
3043.65 10285.57 2016-11-10 09:54:31
3161.76 10285.57 2016-11-10 09:59:42
3146.43 10285.57 2016-11-10 10:05:03
3289.56 10285.57 2016-11-10 10:10:14
3328.01 10285.57 2016-11-10 10:15:24
3540.09 10285.57 2016-11-10 10:20:36
3171.16 10285.57 2016-11-10 10:25:48
2869.45 10285.57 2016-11-10 10:31:09
2562 10285.57 2016-11-10 10:36:20
2413.5 10285.57 2016-11-10 10:41:30
2332.76 10285.57 2016-11-10 10:46:41
2468.22 10285.57 2016-11-10 10:51:51
2658.93 10285.57 2016-11-10 10:57:00
2655.49 10285.57 2016-11-10 11:02:11
2524.6 10285.57 2016-11-10 11:07:21
2381.21 10285.57 2016-11-10 11:12:32
2286.26 10285.57 2016-11-10 11:17:42
2430.13 10285.57 2016-11-10 11:22:53
